Date	Open	High	Low	Close	Adj Close	Volume
1987-01-16	3284.100098	3287.5	3265.5	3271.899902	3263.591064	302600
1987-01-19	3270.600098	3274.699951	3255.899902	3274.699951	3266.384033	288800
1987-01-20	3273.100098	3275.399902	3249.300049	3251.300049	3243.043457	330200
1987-01-21	3244.399902	3256.600098	3243	3246.399902	3238.156006	276200
1987-01-22	3255.399902	3299.100098	3255.399902	3299.100098	3290.722168	330700
1987-01-23	3312.600098	3336.899902	3302.199951	3305	3296.607178	356200
1987-01-26	3293	3299.199951	3287.800049	3297.600098	3289.226074	218600
1987-01-27	3305.800049	3339.899902	3305.800049	3339.899902	3331.417969	297200
1987-01-28	3351.199951	3357.100098	3348.399902	3354.300049	3345.781982	367000
1987-01-29	3358	3362.199951	3349.100098	3350.699951	3342.190918	307700
1987-01-30	3345.300049	3348.899902	3333.100098	3348.899902	3340.395508	287200
1987-02-02	3350.5	3378.699951	3350.5	3378.699951	3370.119629	254300
1987-02-03	3385.800049	3400.300049	3384.899902	3400.300049	3391.665283	272600
1987-02-04	3405.699951	3448.100098	3405.699951	3448.100098	3439.343994	371400
1987-02-05	3469.399902	3518.399902	3469.399902	3515.199951	3506.273193	526000
1987-02-06	3524.699951	3539.199951	3522.100098	3525.199951	3516.247803	407400
1987-02-09	3526.399902	3526.399902	3508.100098	3511.899902	3502.981689	287600
1987-02-10	3507.399902	3507.399902	3460.300049	3465.699951	3456.898926	319300
1987-02-11	3463.800049	3485.699951	3460.300049	3485.699951	3476.8479	277900
1987-02-12	3494.300049	3514.899902	3494.300049	3502.699951	3493.804932	313100
1987-02-13	3500.199951	3527	3498.600098	3523.399902	3514.452393	265100
1987-02-16	3521	3531	3521	3531	3522.033203	191300
1987-02-17	3534.300049	3560	3534.300049	3559.899902	3550.859619	349200
1987-02-18	3568.800049	3579.899902	3554.899902	3560	3550.959229	332400
1987-02-19	3568.300049	3568.300049	3548.899902	3562.600098	3553.552979	282600
1987-02-20	3568.699951	3568.699951	3533.800049	3541.800049	3532.805908	267900
1987-02-23	3527.5	3527.5	3473.699951	3487.800049	3478.942871	240500
1987-02-24	3487.399902	3487.5	3467.800049	3487.100098	3478.244629	251900
1987-02-25	3492.300049	3496	3474	3474.600098	3465.776611	291300
1987-02-26	3470.399902	3478.199951	3457.5	3478.199951	3469.367188	302000
1987-02-27	3490.899902	3501.699951	3490.899902	3498.899902	3490.014648	276500
1987-03-02	3506.800049	3512.600098	3505.199951	3510.100098	3501.186279	241300
1987-03-03	3506.5	3533.199951	3506.5	3533.199951	3524.227539	270100
1987-03-04	3546.300049	3593.5	3546.300049	3593.5	3584.374268	342500
1987-03-05	3608.199951	3628.5	3608.199951	3619.100098	3609.909424	421200
1987-03-06	3621.800049	3637.899902	3621.800049	3637.100098	3627.864014	307600
1987-03-09	3626.600098	3626.600098	3606.300049	3611.399902	3602.229004	222400
1987-03-10	3607.800049	3619	3605	3614	3604.822266	273500
1987-03-11	3620.699951	3629.100098	3619.300049	3620.100098	3610.906738	355300
1987-03-12	3622.399902	3671.399902	3622.399902	3670.100098	3660.779785	334700
1987-03-13	3690.100098	3697.399902	3683.100098	3687.100098	3677.737061	348600
1987-03-16	3683.800049	3683.800049	3667.800049	3672.899902	3663.572754	245800
1987-03-17	3675.699951	3733	3674.399902	3733	3723.520264	294800
1987-03-18	3752.899902	3790.800049	3752.899902	3780.899902	3771.298584	449000
1987-03-19	3785.5	3809.899902	3785.5	3809.899902	3800.224854	394200
1987-03-20	3816.300049	3833	3816.300049	3833	3823.266113	379500
1987-03-23	3825.699951	3842.100098	3820.699951	3842.100098	3832.343262	311700
1987-03-24	3847.5	3847.5	3830.100098	3836.100098	3826.358398	368400
1987-03-25	3845.5	3847.699951	3824.399902	3828.5	3818.777588	392500
1987-03-26	3830.100098	3832.399902	3814.100098	3814.100098	3804.414551	342000
1987-03-27	3825.100098	3829.5	3804.600098	3805.300049	3795.636475	423900
1987-03-30	3788.399902	3788.399902	3730.600098	3737.5	3728.008789	379600
1987-03-31	3735.5	3741.100098	3724.699951	3739.5	3730.003662	294200
1987-04-01	3725.100098	3742.199951	3722.899902	3742.199951	3732.696777	250000
1987-04-02	3753.5	3784.100098	3753.5	3784.100098	3774.490723	333400
1987-04-03	3792.199951	3847	3792.199951	3847	3837.230713	376200
1987-04-06	3854.5	3881.199951	3854.5	3881.199951	3871.343506	373700
1987-04-07	3887.300049	3897.100098	3871	3871	3861.169678	388300
1987-04-08	3871.899902	3880.100098	3865.300049	3866.899902	3857.079834	384400
1987-04-09	3871.100098	3871.100098	3832.5	3837.399902	3827.654785	486500
1987-04-10	3830.699951	3842.800049	3830.699951	3841.800049	3832.044189	429400
1987-04-13	3856.800049	3869.199951	3839.800049	3839.800049	3830.049072	417300
1987-04-14	3833.800049	3833.800049	3767.800049	3773.399902	3763.817383	512900
1987-04-15	3781.5	3781.899902	3762	3772	3762.420898	424000
1987-04-16	3769.600098	3788	3768	3787.300049	3777.682373	331900
1987-04-20	3793.699951	3806.699951	3793.699951	3805.300049	3795.636475	260800
1987-04-21	3810.899902	3810.899902	3791.399902	3810.399902	3800.723633	313400
1987-04-22	3810.5	3818.300049	3788.5	3788.5	3778.87915	324100
1987-04-23	3786.699951	3786.899902	3757	3766.399902	3756.835205	396100
1987-04-24	3769	3769	3732.100098	3733.300049	3723.819336	409900
1987-04-27	3724.399902	3724.399902	3656.800049	3658.199951	3648.910156	323900
1987-04-28	3676.5	3688.199951	3676.199951	3685.399902	3676.040771	295500
1987-04-29	3697.300049	3708.100098	3697.300049	3704.199951	3694.793213	255500
1987-04-30	3711.899902	3721.399902	3711.899902	3716.699951	3707.261475	298900
1987-05-01	3718.600098	3723.800049	3708.5	3708.5	3699.082275	277400
1987-05-04	3712.899902	3730.300049	3712.899902	3730.300049	3720.827148	235700
1987-05-05	3733.199951	3754.699951	3732.300049	3754.699951	3745.165039	340300
1987-05-06	3760.699951	3768.5	3758.699951	3767.5	3757.932373	305200
1987-05-07	3772.399902	3794.5	3772.399902	3793.699951	3784.065674	358100
1987-05-08	3810.100098	3819.300049	3809.800049	3818.100098	3808.404053	337200
1987-05-11	3839.100098	3844.100098	3824.5	3824.5	3814.787842	286500
1987-05-12	3832	3834.899902	3820.199951	3823.699951	3813.989746	307500
1987-05-13	3826.199951	3833.800049	3825.5	3829.699951	3819.974609	325300
1987-05-14	3834.5	3836.5	3830.800049	3832.899902	3823.16626	315400
1987-05-15	3832.899902	3833.100098	3812.800049	3813.800049	3804.115234	339300
1987-05-18	3813.800049	3813.800049	3813.800049	3813.800049	3804.115234	0
1987-05-19	3810	3810	3764.699951	3764.699951	3755.139648	286000
1987-05-20	3751.5	3751.5	3720	3720.300049	3710.852539	301000
1987-05-21	3728.300049	3728.300049	3696.899902	3696.899902	3687.511475	270300
1987-05-22	3697.399902	3697.399902	3676.5	3678.899902	3669.557373	253500
1987-05-26	3675.899902	3675.899902	3656	3675.800049	3666.465576	256500
1987-05-27	3674.600098	3688.399902	3674.600098	3684.800049	3675.442627	237300
1987-05-28	3690.300049	3690.399902	3677.800049	3688.300049	3678.933838	252700
1987-05-29	3689	3689	3678.800049	3685.199951	3675.841553	197100
1987-06-01	3681.800049	3681.800049	3659	3659.600098	3650.306641	181300
1987-06-02	3665.800049	3676.5	3662.899902	3676.5	3667.163574	362600
1987-06-03	3677.399902	3700.899902	3677.399902	3700.899902	3691.501709	218000
1987-06-04	3706.600098	3726.199951	3706.600098	3726.199951	3716.737549	236200
1987-06-05	3735.699951	3735.899902	3722.800049	3728	3718.532715	238600
1987-06-08	3719.899902	3732.100098	3719.899902	3729.300049	3719.829834	184000
1987-06-09	3726.800049	3726.800049	3716.800049	3717.800049	3708.359131	225800
